i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
taking it back to best buy i found that a tiny plastic piece inside had broken manuf issue .|||O O O O O O O O O O O O O O O O B-AP O O
it has no camera but , i can always buy and install one easy .|||O O O B-AP O O O O O O O O O O O
the display is incredibly bright , much brighter than my powerbook and very crisp .|||O B-AP O O O O O O O O O O O O O
we were pc users .|||O O O O O
the amd turin processor seems to always perform so much better than intel .|||O B-AP I-AP I-AP O O O O O O O O B-AP O
after that the said it was under warranty .|||O O O O O O O B-AP O
the start menu is not the easiest thing to navigate due to the stacking .|||O B-AP I-AP O O O O O O B-AP O O O O O
only thing i would want to add to this is an internal bluray read/write drive .|||O O O O O O O O O O O O B-AP I-AP I-AP O
this computer was awful , i would never recomend it to another person .|||O O O O O O O O O O O O O O
the service tech said he had tried to duplicate the damage and was n't able to recreate it therefore it had to be their defect .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
the tech store i purchased this from sent it back , , , , , eventually i got a new or repaired machine approximately 3 weeks later .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O
i loved it then , but unfortunately it was before the days of wireless internet .|||O O O O O O O O O O O O O O O O
really like the textured surface which shows no fingerprints .|||O O O O B-AP O O O O O
i will never again buy another acer , not will i buy gateway , or emachine as they are all from the same company .|||O O O O O O O O O O O O O O O O O O O O O O O O O
the screen is bright and the keyboard is nice ;|||O B-AP O O O O B-AP O O O
i look forward to years of use , it has held up well over the years and it fits my needs very well .|||O O O O O O O O O O O O O O O O O O O O O O O O
im very happy with this computer !|||O O O O O O O
but the machine is awesome and ilife is great and i love snow leopard x .|||O O O O O O B-AP O O O O O B-AP I-AP I-AP O
high price tag , however .|||O B-AP I-AP O O O
i thought learning the mac os would be hard , but it is easily picked up if you are familiar with a pc .|||O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O
my kids have to take their pcs in once a year to have them de-bugged .|||O O O O O O O O O O O O O O O O
i had static in the output , and i had to reduce the sound output quality to fm as opposed to the default cd .|||O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O
it was a laugh too !|||O O O O O O
since i purchased my toshiba netbook , i have been very pleased with it , i have a laptob and a desktop .|||O O O O O O O O O O O O O O O O O O O O O O O
i bought my macbook a few months ago and it has been my baby ever since .|||O O O O O O O O O O O O O O O O O
that is how it is able to function better than any other pc .|||O O O O O O O O O O O O O O
i custom ordered the machine from hp and could not understand the techie due to his accent .|||O O O O O O O O O O O O B-AP O O O O O
it is easy to use and lightweight .|||O O O O B-AP O O O
i went to toshiba online help and found some suggestions to fix it .|||O O O B-AP I-AP I-AP O O O O O O O O
it is a bit heavy .|||O O O O O O
after trying to get some help he disconnected on me .|||O O O O O O O O O O O
they also have a longer service life than other computers i have several friends who still use the older apple powerbooks .|||O O O O O B-AP I-AP O O O O O O O O O O O O O O O
if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor .|||O O O O O O O O O O O O O B-AP O O O O O O O B-AP O
this laptop is a great price and has a sleek look .|||O O O O O B-AP O O O O B-AP O
i especially like the keyboard which has chiclet type keys .|||O O O O B-AP O O O O B-AP O
small screen somewhat limiting but great for travel .|||O B-AP O O O O O O O
one of the primary reasons why i purchased an ipad was to store photographs so that i could show to my customers .|||O O O O O O O O O O O O O O O O O O O O O O O
runs hot i thought we were paying for quality in our decision to buy an apple product .|||O O O O O O O O B-AP O O O O O O O O O
for the not so good , i got the stock screen , which is very glossy .|||O O O O O O O O O B-AP I-AP O O O O O O
the gray color was a good choice .|||O B-AP I-AP O O O O O
this was the second computer and brand bought that day .|||O O O O O O O O O O O
buy this .|||O O O
very disappointing ,|||O O O
i love this product because it is toshiba and its 156 .|||O O O O O O O O O O O O
i would like to have volume buttons rather than the adjustment that is on the front .|||O O O O O B-AP I-AP O O O O O O O O O O
this is my first computer purchase|||O O O O O O
people know what they are talking about and they have pride in the product that they are selling .|||O O O O O O O O O O O O O O O O O O O
the processor a amd semprom at 21 ghz is a bummer it does not have the power for hd or heavy computing .|||O B-AP O O O O O O O O O O O O O O O O O O O B-AP O
would highly recommend this netbook though .|||O O O O O O O
i have had several machines over the years , both for personal and business use .|||O O O O O O O O O O O O O O O O
i bought a protector for my key pad and it works great ,|||O O O B-AP O O B-AP I-AP O O O O O
the magnetic plug-in power charging power cord is great i even put it to the test by accident excellent innovation !|||O B-AP I-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
well i got this computer from best buy and i have had nothing but problems i bought the computer with a virus .|||O O O O O O O O O O O O O O O O O O O O O O O
it seems they could have updated xp and done without creating vista .|||O O O O O O B-AP O O O O B-AP O
it is easy to use , fast and has great graphics for the money .|||O O O O B-AP O O O O O B-AP O O O O
i decided i wanted a laptop so i went into the bby store .|||O O O O O O O O O O O O O O
i like how the mac os is so simple and easy to use .|||O O O O B-AP I-AP O O O O O O B-AP O
while apple 's saving grace is the fact that they at least stand behind their products , and their support is great , it would be nice if their products were more reliable to justify the premium .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O
in the three years i 've had my macbook pro , i have never had a virus on my computer , and i do a lot of work on the internet .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i was ready to take it back for a refund , but the geek squad camed through and pointed me in the right direction to get it fixed .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
i have had laptops in the past and i thought why not give these small netbooks a try .|||O O O O O O O O O O O O O O O O O O O
it ca n't get any better .|||O O O O O O O
all the problems i have had with pc 's are solved with a mac , the issue of overheating-my dell was always overheating and not working properly or simply shutting off , and the issue of viruses and contaminants-my hp completely quit working within2 years of purchasing it , with no inexpensive way of fixing it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
only good thing is the graphics quality .|||O O O O O B-AP I-AP O
the other lock-up problems are from a myriad of causes , the most common being a corrupted version of appleworks which can render the browser useless .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O B-AP O O
in short i would never buy a compaq again .|||O O O O O O O O O O
i love the 15 macbook pro .|||O O O O O O O
breaks easily .|||O O O
the paint wears off easily due to the keyboard being farther back than usual .|||O B-AP O O O O O O B-AP O O O O O O
that 's right , no power , absolutely nothing .|||O O O O O O O O O O
i had purchased it from a major electronics store and took it to their service department to find out what the problem was .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O
the store honored their warrenty and made the comment that they do n't even recommend the hp brand because of the problems with their warrenty .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O B-AP O
but i was wrong .|||O O O O O
no good .|||O O O
i always use a backup hard disk to store important files at all times .|||O O O O O B-AP I-AP O O O O O O O O
they sent out the box right away for me to send in my computer , they paid postage and whatnot , but when i got my computer back it still was n't running right , and now my cd drive was n't reading anything !|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O B-AP I-AP O O O O O
i bought this laptop was the worst laptop i 've ever bought .|||O O O O O O O O O O O O O
but the screen size is not that bad for email and web browsing .|||O O B-AP I-AP O O O O O O O B-AP I-AP O
once i removed all the software the laptop loads in 15-20 seconds .|||O O O O O B-AP O O B-AP O O O O
on my powerbook g4 i would never use the trackpad i would use an external mouse because i did n't like the trackpad .|||O O O O O O O O O B-AP O O O O B-AP I-AP O O O O O O B-AP O
this computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games .|||O O O O O O O O O B-AP O O O O O O O O O O O O B-AP O
obviously one of the most important features of any computer is the human interface .|||O O O O O O B-AP O O O O O B-AP I-AP O
yeah , of course smarty pants fix it nowaspect1 , compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple which i promptly did .|||O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O
the body is a bit cheaply made so it will be interesting to see how long it holds up .|||O B-AP O O O O O O O O O O O O O O O O O O
the i5 blows my desktop out of the water when it comes to rendering videos .|||O B-AP O O O O O O O O O O O O O O
