i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
this is likely due to poor grounding and isolation between the components , and i 'm hoping that it can be fixed with a ground loop isolator , but i still expected better product quality for this price range .|||O O O O O O O O O O O B-AP O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O B-AP O O B-AP I-AP O
i have had it for about a 1 1/2 and yes i have had an issue with it one month out of warranty .|||O O O O O O O O O O O O O O O O O O O O O O B-AP O
once open , the leading edge is razor sharp .|||O O O O B-AP I-AP O O O O
loaded with bloatware .|||O O B-AP O
maximum sound is n't nearly as loud as it should be .|||B-AP I-AP O O O O O O O O O O
i loaded windows 7 via bootcamp and it works flawlessly !|||O O B-AP I-AP O B-AP O O O O O
great laptop for the price , works well with action pack games .|||O O O O B-AP O B-AP O O B-AP I-AP I-AP O
although the price is higher then dell laptops , the macbooks are worth the dough .|||O O B-AP O O O O O O O O O O O O O
i would not recommend this to anyone wanting a notebook expecting the performance of a desktop it does not meet the expectations .|||O O O O O O O O O O O O B-AP O O O O O O O O O O
the macbook arrived in a nice twin packing and sealed in the box , all the functions works great .|||O O O O O O B-AP I-AP O O O O O O O O B-AP O O O
so what if the laptops/mobile phones look chic and cool ? the after sales support is terrible .|||O O O O O O B-AP O O O O O B-AP I-AP I-AP O O O
i hate the display screen and i have done everything i could do the change it .|||O O O B-AP I-AP O O O O O O O O O O O O
i also like the acer arcade but these were reallythe only two things i liked about this laptop .|||O O O O B-AP I-AP O O O O O O O O O O O O O
have not yet needed any customer support with this yet so to me that is a great thing , which is leaps and bounds ahead of pc in my opinion .|||O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O
i gave it to my daughter because i just hated the screen , hated that it had no cd drive to at least play cd 's when i wanted to listen to music and do schoolwork .|||O O O O O O O O O O O B-AP O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O
it runs very quiet too which is a plus .|||O B-AP O O O O O O O O
but it has a major design flaw .|||O O O O O B-AP O O
it was heavy , bulky , and hard to carry because of the size .|||O O O O O O O O O O O O O B-AP O
the games included are very good games .|||O B-AP O O O O B-AP O
this computer will last you at least 7 years , thats an amazing life spanned an electronic .|||O O O O O O O O O O O O O B-AP O O O O
i had something else go wrong and they said it had to be in good working order to be able to buy the warranty .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP O
sometimes you really have to tap the pad to get it to worki|||O O O O O O O B-AP O O O O O
it 's super fast and a great value for the price !|||O O O O O O O B-AP O O B-AP O
three , the mac book has advantages over pcs with linux based os there is very few problems with system performance when it comes to a mac .|||O O O O O O O O O O B-AP I-AP I-AP O O O O O O B-AP I-AP O O O O O O O
a mac is very easy to use and it simply makes sense .|||O O O O O O B-AP O O O O O O
however , i may have inadvertently thrown out one of the batteries with the shipping carton .|||O O O O O O O O O O O B-AP O O B-AP I-AP O
there is no need to open a program first and the cliick open or import .|||O O O O O O O B-AP O O O O O O O O
it is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on pc 's .|||O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O
three weeks after i bought the netbook , the screen quit working .|||O O O O O O O O O B-AP O O O
the processor screams , and because of the unique way that apple osx 16 functions , most of the graphics are routed through the hardware rather than the software .|||O B-AP O O O O O O O O O O B-AP I-AP O O O O O B-AP O O O O B-AP O O O B-AP O
i wanted something that had a new intel core processors and hdmi port so that we could hook it up directly to our tv .|||O O O O O O O B-AP I-AP I-AP O B-AP I-AP O O O O O O O O O O O O
the apple will run internet explorer , but at an amazingly slow rate .|||O O O O B-AP I-AP O O O O O O O O
with today 's company fighting over marketshare , its a shame that asus can get away with the inept staff answering thephone .|||O O O O O O O O O O O O O O O O O O O B-AP O O O
the price premium is a little much , but when you start looking at the features it is worth the added cash .|||O B-AP I-AP O O O O O O O O O O O O B-AP O O O O O O O
i ca n't say enough of how satisfied i am with their product and help aftermarket .|||O O O O O O O O O O O O B-AP I-AP I-AP I-AP O
microsoft word was not on it andi had to buy it seperately .|||B-AP I-AP O O O O O O O O O O O
it has 3 usb ports , 1 sd memory card reader and an sd memory car expansion .|||O O O B-AP I-AP O O B-AP I-AP I-AP I-AP O O B-AP I-AP I-AP I-AP O
i connect a lacie 2big external drive via the firewire 800 interface , which is useful for time machine .|||O O O B-AP I-AP I-AP I-AP O O B-AP I-AP I-AP O O O O O B-AP I-AP O
my toshiba did not have sound on everything , just certain things .|||O O O O O B-AP O O O O O O O
i am overall very pleased with my toshiba satellite , i like the extra features , i love the windows 7 home premium .|||O O O O O O O O O O O O O B-AP I-AP O O O O B-AP I-AP I-AP I-AP O
the aspire wont even boot past the acer screen with a droid i have tried both motorola and htc plugged into the usb port .|||O O O O B-AP O O B-AP I-AP O O O O O O O O O O O O O B-AP I-AP O
the battery life was shorter than expected .|||O B-AP I-AP O O O O O
it fires up in the morning in less than 30 seconds and i have never had any issues with it freezing .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O
the keyboard is top notch .|||O B-AP O O O O
it drives me crazy when i want to download a game or something of that nature and i ca n't play it because its not compatable with the software .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
the online tutorial videos make it super easy to learn if you have always used a pc .|||O B-AP I-AP I-AP O O O O O O O O O O O O O O
the image is great , and the soud is excelent .|||O B-AP O O O O O B-AP O O O
with a mac computer i have more free time as i do n't have to wait for windows to boot up or shut down and all the viruses associated with windows .|||O O O O O O O O O O O O O O O O O B-AP O B-AP I-AP O B-AP I-AP O O O O O O B-AP O
it was very easy to just pick up and use it did not take long to get use to the mac os .|||O O O O O O O O O B-AP O O O O O O O B-AP O O B-AP I-AP O
it is well worth the money it cost , very good investment .|||O O O O O O O B-AP O O O O O
upgrading from windows 7 starter , thru windows 7 home premium , to windows 7 professional was a snap ;|||O O B-AP I-AP I-AP O O B-AP I-AP I-AP I-AP O O B-AP I-AP I-AP O O O O
this computer had exactly the specifications i needed .|||O O O O O B-AP O O O
my kids and dogs destroyed two power cords by pulling on them .|||O O O O O O B-AP I-AP O O O O O
i had upgraded my old macbook to lion , so i kind of knew what i was getting , but had n't been able to enjoy some of the awesome new multi-touch features .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
the screen is a little glary , and i hated the clicking buttons , but i got used to them .|||O B-AP O O O O O O O O O B-AP I-AP O O O O O O O O
not to mention , the battery life is absolutely amazing .|||O O O O O B-AP I-AP O O O O
windows also shuts the computer down for no reason without warning .|||B-AP O O O O O O O O O O O
not using wired lan not sure what thats about .|||O O B-AP I-AP O O O O O O
the macbook rarely requires a hard reboot .|||O O O O O B-AP I-AP O
now for the hardware problems .|||O O O B-AP O O
anyways i bought this two months ago and when i first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone .|||O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O
it 's fast and has excellent battery life .|||O O O O O O B-AP I-AP O
apple care included .|||B-AP I-AP O O
features like the font are very block-like and old school .|||B-AP O O B-AP O O O O O O O
it is loaded with programs that is of no good for the average user , that makes it run way to slow .|||O O O O B-AP O O O O O O O O O O O O O B-AP O O O O
i feel that it was poorly put together , because once in a while different plastic pieces would come off of it .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
finally , i should note that i took the 2gb ram stick from my old eeepc and installed it before i even powered on for the first time .|||O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O
windows is also rather unsteady on its feet and is susceptible to many bugs .|||B-AP O O O O O O O O O O O O O O
after sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish , i broke down and spent another $ 100 to get microsoft word for mac .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP I-AP O
do not buy gateway computers they are junk and the warranty company is horrible .|||O O O O O O O O O O B-AP I-AP O O O
then on top of it all their cusromer service center is in the middle east .|||O O O O O O O B-AP I-AP I-AP O O O O O O
the only bad part is the size .|||O O O O O O B-AP O
the little battery that it did have would only last about an hour while just having it on the desktop .|||O O B-AP O O O O O O O O O O O O O O O O O O
i liked the aluminum body .|||O O O B-AP I-AP O
its good for playing my apps on facebook or watching movies .|||O O O B-AP O O O O O B-AP I-AP O
from the build quality to the performance , everything about it has been sub-par from what i would have expected from apple .|||O O B-AP I-AP O O B-AP O O O O O O O O O O O O O O O O
i love the dock where i can simply drop a file ontop of a particular program , and the program will simply open that file .|||O O O B-AP O O O O O O O O O O O B-AP O O O B-AP O O O O O O
pretty much everything else about the computer is good it just stops working out of no were .|||O O O O O O O O O O O O B-AP O O O O O
it was truly a great computer costing less than one thousand bucks before tax .|||O O O O O O B-AP O O O O O O O O
